iter	RMSE
0	107.9539864
1	106.2155329
2	105.1094475
3	103.6710796
4	102.1211435
5	100.6945102
6	99.33541314
7	97.61042622
8	95.87911595
9	94.5116359
10	93.11654945
11	91.77107057
12	90.64902515
13	89.54639707
14	88.16321323
15	86.80908452
16	85.13968107
17	83.88694067
18	82.54016404
19	81.52680863
20	80.19088665
21	78.83431712
22	77.81940229
23	77.029269
24	75.76649576
25	74.66699793
26	73.59130695
27	72.807701
28	72.01269533
29	71.12444538
30	70.26500987
31	69.48325734
32	68.56872143
33	67.82975188
34	67.06419944
35	66.21593808
36	65.23507331
37	64.2435571
38	63.35184054
39	62.44356658
40	61.68059218
41	60.78356298
42	60.22891535
43	59.32570467
44	58.67399396
45	57.76949763
46	57.03994592
47	56.40438081
48	55.63312691
49	54.80893327
50	54.23194082
51	53.59208427
52	53.00933772
53	52.34319481
54	51.58251722
55	50.74490497
56	50.21075957
57	49.61765643
58	49.18466088
59	48.62368425
60	47.98044817
61	47.45613177
62	46.77413174
63	46.50926645
64	45.8444786
65	45.39243728
66	44.8411182
67	44.47330064
68	44.09407713
69	43.4382817
70	42.8664492
71	42.31420627
72	41.84974522
73	41.29665548
74	40.8593905
75	40.64427403
76	40.22974478
77	39.81384934
78	39.21046245
79	38.75862725
80	38.33548801
81	38.04414974
82	37.65846561
83	37.07784861
84	36.81512876
85	36.56464419
86	36.25372562
87	36.01986024
88	35.60705135
89	35.22165469
90	34.87698396
91	34.48560751
92	34.23196993
93	33.8709007
94	33.52231701
95	33.28484163
96	32.84420814
97	32.57522721
98	32.29688932
99	31.90628891
100	31.61321485
101	31.36784444
102	31.06983781
103	30.82296765
104	30.50109881
105	30.18163598
106	29.95440828
107	29.70944984
108	29.45023916
109	29.10901408
110	28.97236531
111	28.81207784
112	28.52285193
113	28.23491309
114	28.06887165
115	27.82116702
116	27.57532306
117	27.35984704
118	27.10617239
119	26.9378228
120	26.6583121
121	26.43120309
122	26.23364564
123	25.98993592
124	25.77802109
125	25.57024122
126	25.34261588
127	25.16142201
128	24.96450407
129	24.75238488
130	24.60408599
131	24.39495542
132	24.15991656
133	23.96603173
134	23.81132951
135	23.63990617
136	23.4436808
137	23.2817388
138	23.12042335
139	22.93172971
140	22.73108182
141	22.55346704
142	22.33770697
143	22.16565887
144	22.00372533
145	21.84850897
146	21.72985338
147	21.60399464
148	21.42572502
149	21.24728158
150	21.1224239
151	21.00408155
152	20.83950673
153	20.67100437
154	20.54768786
155	20.4252436
156	20.28835469
157	20.16112632
158	20.05871436
159	19.92678021
160	19.77624267
161	19.67395112
162	19.54843782
163	19.41351236
164	19.28032858
165	19.17980082
166	19.06044423
167	18.94446455
168	18.81811151
169	18.69454962
170	18.61036467
171	18.49523836
172	18.40836887
173	18.30357364
174	18.18080809
175	18.08163079
